Ind,Target,Cultivar,Treatment,Expression,Expression SD,Expression SEM
ABI3_0D_N119,ABI3,N119,0D,1.51958,0.28121,0.16236
ABI3_0D_N126,ABI3,N126,0D,0.6431,0.05991,0.03459
ABI3_1D_N119,ABI3,N119,1D,0.72786,0.06851,0.03955
ABI3_1D_N126,ABI3,N126,1D,0.82254,0.12287,0.07094
ABI3_3D_N119,ABI3,N119,3D,1.11639,0.11869,0.06853
ABI3_3D_N126,ABI3,N126,3D,0.66472,0.12274,0.07087
AHG1_0D_N119,AHG1,N119,0D,0.68715,0.14405,0.08317
AHG1_0D_N126,AHG1,N126,0D,2.98682,0.35232,0.20341
AHG1_1D_N119,AHG1,N119,1D,1.26107,0.15377,0.08878
AHG1_1D_N126,AHG1,N126,1D,1.391,0.07404,0.04275
AHG1_3D_N119,AHG1,N119,3D,0.31849,0.05326,0.03075
AHG1_3D_N126,AHG1,N126,3D,0.35138,0.13475,0.0778
